family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.5,Pampanga,54,34785.55,34252.19,27355.17,42575.98,60586.25,48500.0,39577.12,63251.46,0.1143596872400863,0.04654293898777412,0.5503159861221167,0.5235339843135884
1.5,Pangasinan,55,16598.65,15151.17,10947.62,21355.25,28576.64,21791.17,18264.17,31249.92,0.03372844332219626,0.013199275865257582,0.50937545881485,0.5068713332451606
1.5,Quezon,56,20174.23,18166.5,14484.67,24526.67,29496.52,25993.33,18095.83,39828.5,0.046457072930611486,0.0184453090096115,0.5158384225835608,0.509492905429854
1.5,Quirino,57,16702.99,14832.42,11925.03,19043.21,31504.16,26383.33,19232.08,32188.08,0.0323829021417343,0.018932190262657085,0.5086922600600615,0.5097362120036234
1.5,Rizal,58,34815.16,27267.0,16436.33,46016.68,62928.53,43830.0,27858.67,71513.33,0.08487306512761239,0.04071284808592061,0.5353441489143945,0.5206205440584535
1.5,Romblon,59,16571.11,13792.0,11200.33,17728.67,26741.41,17878.33,13490.33,22316.0,0.027990971302593197,0.008314433705855337,0.5064622564570588,0.5044302571064235
1.5,Samar,60,17681.95,14153.42,10309.96,17519.5,29944.32,19599.58,15539.92,27697.5,0.029516635595746327,0.010463265389969974,0.5072369127518217,0.5055040813118092
1.5,Sarangani,80,12338.88,9907.67,7013.38,18512.21,18408.56,17155.67,12177.5,21742.67,0.011594027071993057,0.00741225522809656,0.37978998196842817,0.5039794162638591
1.5,Siquijor,61,10786.78,10299.75,7976.04,12147.21,17502.56,15731.08,13521.54,17388.88,0.013249116596810391,0.005633777883798598,0.43400638295518656,0.5030906672589206
1.5,Sorsogon,62,19961.76,17159.35,12524.02,23851.04,32623.22,21408.33,16086.55,30748.42,0.04220558493091812,0.012721333252652534,0.5136797288552932,0.5066324935305406
1.5,South Cotabato,63,15923.52,14702.17,10902.4,17171.08,30430.71,20987.33,15854.62,29443.75,0.03183307707897299,0.012195751182057174,0.5084130862943792,0.5063698472034717
